task_id,episode_cluster_id,relative_path,source_class,document_id,signal_family_id,document_role,issue_date,publication_date,effective_date,expiry_date,geographic_scope,window_type,is_zero_result_capture,is_direct_official,is_update,parent_family_id,reviewer_1,reviewer_2,adjudication_status,notes,evidence_storage_type,review_origin,review_id,evidence_id,reviewer_1_decision,reviewer_2_decision,historical_availability_status,prior_episode_overlap_status,review_action,claim_eligibility_status,original_representative_relative_path
E051_GARD_onset,E051,E051/GARD/onset/E051_Gard_Circular-01-2026_published-2026-03-01_effective-2026-03-05.pdf,GARD,bf424254b659b5b6,GARD-CIRCULAR-01-2026,positive_signal,,2026-03-01,2026-03-05,,Persian/Arabian Gulf and adjacent waters,onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/GARD/onset/E051_Gard_Circular-01-2026_published-2026-03-01_effective-2026-03-05.pdf
E051_IUA_JWC_LMA_onset,E051,E051/IUA_JWC_LMA/onset/E051_IUA_JWC_JWLA-033_issued-2026-03-03.pdf,IUA_JWC_LMA,df761598928c9378,JWLA-033,positive_signal,2026-03-03,,,,"Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/IUA_JWC_LMA/onset/E051_IUA_JWC_JWLA-033_issued-2026-03-03.pdf
E051_MARAD_onset,E051,E051/MARAD/onset/E051_MARAD_2026-0001B_effective-2026-03-06.pdf,MARAD,7cb2953ce534988a,MARAD-2026-0001B,positive_signal,,,2026-03-06,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/MARAD/onset/E051_MARAD_2026-0001B_effective-2026-03-06.pdf
E051_MARAD_onset,E051,E051/MARAD/onset/E051_MARAD_2026-001A_effective-2026-02-28.pdf,MARAD,bbd274aa6211059d,MARAD-2026-001A,positive_signal,,,2026-02-28,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/MARAD/onset/E051_MARAD_2026-001A_effective-2026-02-28.pdf
E051_MARAD_pre_onset,E051,E051/MARAD/pre_onset/E051_MARAD_Search_PreOnset_2026-01-27_to_2026-02-25.pdf,MARAD,85f97cd9d32d3e35,,zero_result_capture,,,,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",pre_onset,TRUE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,E051/MARAD/pre_onset/E051_MARAD_Search_PreOnset_2026-01-27_to_2026-02-25.pdf
E051_UKMTO_WARNING_pre_onset,E051,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_February-2026_two-excluded-no-Hormuz-records.pdf,UKMTO_WARNING,e1827ad3cb4b40b3,,zero_result_capture,,,,,Strait of Hormuz and adjacent waters,pre_onset,TRUE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_February-2026_two-excluded-no-Hormuz-records.pdf
E051_UKMTO_WARNING_pre_onset,E051,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_January-2026_zero-records.pdf,UKMTO_WARNING,88633bb18c984f51,,zero_result_capture,,,,,Strait of Hormuz and adjacent waters,pre_onset,TRUE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,not_applicable,E051/UKMTO_WARNING/pre_onset/E051_UKMTO_Warnings_PreOnset_January-2026_zero-records.pdf
E051_UKMTO_ADVISORY_pre_onset,E051,E051/UKMTO_ADVISORY/pre_onset/20260203-UKMTO_ADVISORY_001-26.pdf,UKMTO_ADVISORY,ce313bd01498ad4e,UKMTO-ADVISORY-001-26,positive_signal,2026-02-03,,,,Strait of Hormuz and adjacent waters,pre_onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/UKMTO_ADVISORY/pre_onset/20260203-UKMTO_ADVISORY_001-26.pdf
E051_UKMTO_ADVISORY_onset,E051,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26-UPDATE_01.pdf,UKMTO_ADVISORY,b8865cfc5bdb980d,UKMTO-ADVISORY-003-26,update,2026-02-28,,,,Strait of Hormuz and adjacent waters,onset,FALSE,TRUE,TRUE,UKMTO-ADVISORY-003-26,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26-UPDATE_01.pdf
E051_UKMTO_ADVISORY_onset,E051,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26.pdf,UKMTO_ADVISORY,c7afb2663b9ab390,UKMTO-ADVISORY-003-26,positive_signal,2026-02-28,,,,Strait of Hormuz and adjacent waters,onset,FALSE,TRUE,FALSE,,R1,R2,accepted,"R1 and R2 independently confirmed the source, issue date, geographic relevance, document role, signal-family assignment, and pre-onset classification. The record is not treated as clean E051 lead-time evidence because its issue date overlaps an earlier active PortWatch episode.",local_original,Existing_Metadata_preserved,,,,,legacy_reviewed,legacy_reviewed,Existing metadata preserved without modification,legacy_accepted,E051/UKMTO_ADVISORY/onset/20260228-UKMTO_ADVISORY_003-26.pdf
