task_id,episode_cluster_id,source_class,window_type,date_from,date_to,reviewer_1,reviewer_2,search_scope_checked,requested_dates_checked,geography_checked,family_audit_checked,coverage_decision,adjudication_status,review_notes,review_action,current_capture_count,selected_file_count,manual_pdf_count,document_review_ids,representative_relative_path
E006_MARAD_pre_onset,E006,MARAD,pre_onset,2019-05-01,2019-05-30,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,10,0,,E006/MARAD/pre_onset/automated_pending/E006_MARAD_pre_onset__Arabian-Gulf/20260914T010933598102Z_czt7kwze/E006_MARAD_pre_onset__Arabian-Gulf.html
E006_MARAD_onset,E006,MARAD,onset,2019-05-31,2019-06-14,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,20,0,RV-BE71B226C345,E006/MARAD/onset/automated_pending/E006_MARAD_onset__Arabian-Gulf/20260914T010959429002Z_l6gjuzxd/E006_MARAD_onset__Arabian-Gulf.html
E006_UKMTO_WARNING_pre_onset,E006,UKMTO_WARNING,pre_onset,2019-05-01,2019-05-30,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E006_UKMTO_WARNING_onset,E006,UKMTO_WARNING,onset,2019-05-31,2019-06-14,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E006_UKMTO_ADVISORY_pre_onset,E006,UKMTO_ADVISORY,pre_onset,2019-05-01,2019-05-30,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E006_UKMTO_ADVISORY_onset,E006,UKMTO_ADVISORY,onset,2019-05-31,2019-06-14,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: no selected local file is linked to this task. The recorded completion requires supporting evidence; missing files are not a verified zero.",Coverage review complete,Use allowed coverage decision,0,0,,
E006_IUA_JWC_LMA_pre_onset,E006,IUA_JWC_LMA,pre_onset,2019-05-01,2019-05-30,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-70AC94282D09,E006/IUA_JWC_LMA/pre_onset/automated_pending/E006_IUA_JWC_LMA_pre_onset__page-1/20260914T011043154744Z_h2433ves/documents/E006_IUA_JWC_LMA_pre_onset__page-1__document-864b57ce0f.pdf
E006_IUA_JWC_LMA_onset,E006,IUA_JWC_LMA,onset,2019-05-31,2019-06-14,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Retained technical limitation: the selected current JWLA-034 circular is dated 2026-07-29 and does not substantiate historical listed-area coverage for this window.",Coverage review complete,Use allowed coverage decision,3,0,RV-6CFA452379B1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/E006_IUA_JWC_LMA_onset__page-1.html
E006_GARD_pre_onset,E006,GARD,pre_onset,2019-05-01,2019-05-30,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,37,0,RV-DA6DA6BE8ABD,E006/GARD/pre_onset/automated_pending/E006_GARD_pre_onset__search-navigational-warning/20260913T224231068792Z_ih90y9ma/E006_GARD_pre_onset__search-navigational-warning.html
E006_GARD_onset,E006,GARD,onset,2019-05-31,2019-06-14,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,43,0,RV-E0DAE471104B,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman.html
E007_MARAD_pre_onset,E007,MARAD,pre_onset,2019-05-20,2019-06-18,R1,R2,yes,yes,yes,yes,complete_with_relevant_records,accepted,"R1/R2 recorded scope, requested-date, geography and family checks as yes. Coverage decision: complete_with_relevant_records. Sign-off: accepted. Capture counts and recorded checks alone do not verify historical publication availability or the number of independent signal families. Apply Document_Review eligibility checks before export.",Coverage review complete,Use allowed coverage decision,20,0,RV-18A744BC9ABC,E007/MARAD/pre_onset/automated_pending/E007_MARAD_pre_onset__Arabian-Gulf/20260913T211215085095Z_nfrz6i73/E007_MARAD_pre_onset__Arabian-Gulf.html
