review_id,episode_cluster_id,window_type,source_class,reviewer_1,reviewer_2,reviewer_1_decision,reviewer_2_decision,adjudication_status,final_document_role,final_signal_family_id,final_is_update,final_parent_family_id,verified_issue_date,verified_publication_date,verified_effective_date,verified_expiry_date,verified_geographic_scope,historical_availability_status,prior_episode_overlap_status,review_action,evidence_id,document_title,evidence_pages,representative_relative_path
RV-E0DAE471104B,E006,onset,GARD,R1,R2,agree,agree,accepted,positive_signal,GARD-GULF-OMAN-2019-06,False,,,,,,Gulf of Oman / Hormuz / Persian Gulf,unverified,unknown,Verify issue/publication date,EV-FE4517242497,Gard: Incident in the Gulf of Oman,PDF pp. 1-3,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman__document-940c2cb2ca.pdf
RV-BE71B226C345,E006,onset,MARAD,R1,R2,agree,agree,accepted,positive_signal,MARAD-2019-003A,False,,,,2019-06-13,2019-06-20,Persian Gulf / Strait of Hormuz / Gulf of Oman,unverified,unknown,Verify issue/publication date,EV-BA3C5900F785,MARAD 2019-003A,PDF p. 1,E006/MARAD/onset/automated_pending/E006_MARAD_onset__Arabian-Gulf/20260914T010959429002Z_l6gjuzxd/E006_MARAD_onset__Arabian-Gulf__document-ec66a102d9.pdf
RV-DA6DA6BE8ABD,E006,pre_onset,GARD,R1,R2,agree,agree,accepted,methodology,GARD-AIS-SANCTIONS-2019,False,,,2019-05-28,,,Sanctions/AIS methodology; not a specific disruption alert,not_applicable,not_applicable,Human coding complete,EV-B7DCC5D605DF,Gard: Going dark / AIS and sanctions compliance,PDF pp. 1-10,E006/GARD/pre_onset/automated_pending/E006_GARD_pre_onset__search-Iran/20260913T223831843592Z_bahqu7bt/E006_GARD_pre_onset__search-Iran__document-70d012db10.pdf
RV-6CFA452379B1,E006,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-70AC94282D09,E006,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-7D45467EED26,E007,pre_onset,GARD,R1,R2,agree,agree,accepted,positive_signal,GARD-GULF-OMAN-2019-06,False,,,,,,Gulf of Oman / Hormuz / Persian Gulf,unverified,unknown,Verify issue/publication date,EV-FE4517242497,Gard: Incident in the Gulf of Oman,PDF pp. 1-3,E006/GARD/onset/automated_pending/E006_GARD_onset__search-Gulf-of-Oman/20260913T224926885288Z_qrm2o0ds/E006_GARD_onset__search-Gulf-of-Oman__document-940c2cb2ca.pdf
RV-18A744BC9ABC,E007,pre_onset,MARAD,R1,R2,agree,agree,accepted,positive_signal,MARAD-2019-003A,False,,,,2019-06-13,2019-06-20,Persian Gulf / Strait of Hormuz / Gulf of Oman,unverified,unknown,Verify issue/publication date,EV-BA3C5900F785,MARAD 2019-003A,PDF p. 1,E006/MARAD/onset/automated_pending/E006_MARAD_onset__Arabian-Gulf/20260914T010959429002Z_l6gjuzxd/E006_MARAD_onset__Arabian-Gulf__document-ec66a102d9.pdf
RV-514AC7C3E9FB,E007,pre_onset,GARD,R1,R2,agree,agree,accepted,methodology,GARD-AIS-SANCTIONS-2019,False,,,2019-05-28,,,Sanctions/AIS methodology; not a specific disruption alert,not_applicable,not_applicable,Human coding complete,EV-B7DCC5D605DF,Gard: Going dark / AIS and sanctions compliance,PDF pp. 1-10,E006/GARD/pre_onset/automated_pending/E006_GARD_pre_onset__search-Iran/20260913T223831843592Z_bahqu7bt/E006_GARD_pre_onset__search-Iran__document-70d012db10.pdf
RV-8335311F8D0F,E007,onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
RV-F8A417075016,E007,pre_onset,IUA_JWC_LMA,R1,R2,agree,agree,accepted,excluded,JWLA-034,False,,2026-07-29,,,,"Regional listed areas, including Persian/Arabian Gulf",not_applicable,not_applicable,Human coding complete,EV-B5D8F0174EBF,JWC JWLA-034 listed areas,PDF p. 1,E006/IUA_JWC_LMA/onset/automated_pending/E006_IUA_JWC_LMA_onset__page-1/20260914T011051137968Z_c6vu9px4/documents/E006_IUA_JWC_LMA_onset__page-1__document-864b57ce0f.pdf
