episode_cluster_id,flow_episode_id,onset_date,end_date,phase4_split,pre_window_start,pre_window_end,onset_window_start,onset_window_end,candidate_signal_date,candidate_source,candidate_reference,dependency_group,analysis_role,status
E006,6,2019-05-31,2019-06-01,training,2019-05-01,2019-05-30,2019-05-31,2019-06-14,2019-05-12,OFFICIAL_SOURCE_REQUIRED,Replace discovery-only incident reference with a direct official record,E006,lead_validation,collect
E007,7,2019-06-19,2019-06-22,training,2019-05-20,2019-06-18,2019-06-19,2019-07-03,2019-06-13,OFFICIAL_SOURCE_REQUIRED,Replace discovery-only incident reference with a direct official record,E007,lead_validation,collect
E027,27,2021-01-22,2021-01-24,training,2020-12-23,2021-01-21,2021-01-22,2021-02-05,2021-01-05,MARAD,2021-001A,E027,lead_validation,collect
E029,29,2021-03-07,2021-03-13,training,2021-02-05,2021-03-06,2021-03-07,2021-03-21,2021-02-26,MARAD,2021-003A,E029,lead_validation,collect
E031,31,2024-02-28,2024-03-02,validation,2024-01-29,2024-02-27,2024-02-28,2024-03-13,2024-02-02,MARAD,2024-001,E031,lead_validation,collect
E032,32,2024-09-07,2024-09-08,validation,2024-08-08,2024-09-06,2024-09-07,2024-09-21,2024-08-16,MARAD,2024-009,E032,lead_validation,collect
E038,38,2025-02-26,2025-03-01,test,2025-01-27,2025-02-25,2025-02-26,2025-03-12,2025-02-14,MARAD,2025-002,E038,lead_validation,collect
E042,42,2025-08-15,2025-08-16,test,2025-07-16,2025-08-14,2025-08-15,2025-08-29,2025-08-13,MARAD,2025-009,E042,lead_validation,collect
E045,45,2025-10-08,2025-10-18,test,2025-09-08,2025-10-07,2025-10-08,2025-10-22,2025-09-24,MARAD,2025-012,E045,lead_validation,collect
E047,47,2025-11-16,2025-11-17,test,2025-10-17,2025-11-15,2025-11-16,2025-11-30,2025-11-14,OFFICIAL_SOURCE_REQUIRED,Replace discovery-only Talara reference with a direct official record,E047,lead_validation,collect
E051,51,2026-02-26,2026-09-06,test,2026-01-27,2026-02-25,2026-02-26,2026-03-12,2026-02-28,MARAD+UKMTO,Escalation signal occurs after initial onset and before catastrophic-stage onset,E051,escalation_case,collect
